"idPiece","idJeu","contenu_total","message"
"42","42","1 plateau 
3 pions Tête de Tigre
1 dé
3 crayons à papier
1 minuteur
1 bloc BOYARD
1 bloc de feuilles blanches
1 jeu TANGRAM (7 pièces)
3 jetons Père Fouras
72 jetons (rouges, verts, bleus et jaunes)
20 cartes CANDIDAT
56 cartes EPREUVE
55 cartes PÈRE FOURAS (54 d)
74 cartes MOT CODE (73 d)
4 cartes DUEL (4d)
11 cartes CLE (11 d)
1 règle du jeu (ok)",NULL
"43","43","Max (corps, 2 bras, 2 pieds)
Plateau
1 tronc bleu 
1 tronc vert 
1 tronc jaune 
3 pions bleus lapin
3 pions verts tortue
3 pions jaunes hérisson 
24 jetons
1 sac de rangement
1 notice d'instructions",NULL
"44","44","1 boîte avec plateau de jeu
3 séries de 4 gobblets noirs
3 séries de 4 gobblets clairs
1 règle de jeu",NULL
"45","45","1 plateau de jeu
1 sac de rangement
6 pièces rouges
6 pièces jaunes",NULL
"46","46","1 plan de jeu
6 pions-hippopotame 
16 cartes action 
62 cartes événement I 
53 cartes événement II 
9 cartes vides 
1 dé illustré 
Jetons verts 
1 barre de pâte à modeler 
1 sablier 
1 règle du jeu",NULL
"47","47","1 plateau de jeu
1 dé 
330 cartes QUESTION
4 figurines plastiques
30 billes chinoises bleutées
30 billes chinoises rouges
Règle du jeu",NULL
"48","48","41 panneaux
1 panneau départ / arrivée
5 jetons World Grand Prix
4 pions voiture
1 dé",NULL
"49","49","1 plateau de jeu
6 pions de couleur
1 dé
16 cartes transaction
16 cartes prêt
80 cartes événements
6 livrets d'épargne 
1 liasse de billets de banque",NULL
"51","51","1 plateau de jeu
34 plaques Couloir dont 12 avec image, 12 lignes droites et 10 virages
24 cartes
4 pions
1 règle du jeu",NULL
"52","52","1 plateau de jeu
34 plaques Couloir dont 12 avec image, 12 lignes droites et 10 virages
24 cartes
4 pions
1 règle du jeu",NULL
"54","54","1 plateau de jeu
34 plaques Couloir dont 12 avec image, 12 lignes droites et 10 virages
24 cartes 
4 pions",NULL
"55","55","1 plateau de jeu
2 dés
1 pion repère-temps
6 repères ANNIVERSAIRE
6 cartes CARRIERE
6 curseurs blancs
1 plateau pour disposer les cartes
36 cartes informations
16 cartes HABITATION
16 cartes VOITURE
16 cartes LOISIRS-CONFORT
16 cartes VOYAGE-VACANCES
40 billets de 10 000F
50 billets de 50 000F
20 billets de 100 000 F
20 billets de 200 000 F
20 billets de 500 000 F
20 billets de 1 000 000 F
1 plateau pour le banquier
Règle du jeu",NULL
"57","57","4 cochons
8 jetons œil
4 jetons queue
8 jetons oreille
16 jetons patte
3 dés
1 gobelet
5 supports de rangement",NULL
"58","58","Plateau de jeu
2 dés
4 hôtels
4 bouteilles de champagne
Billets
Supports de jeu",NULL
"59","59","72 cartes numérotées de 0 à 8
40 petites bananes
4 mains de singe 
1 grande banane
1 panier
1 notice",NULL
"60","60","1 plan de jeu
18 objets secrets
4 pions
4 paires de ciseaux
4 pierres
4 jetons-papier
1 dé
4 boîtes de rangement
1 règle",NULL
"61","61","1 plateau de jeu
90 cartes carottes :
- 12 cartes 60 
- 2 cartes 30
- 12 cartes 15
- 23 cartes 10
- 18 cartes 5
- 24 cartes 1 
18 cartes salade
12 cartes lièvre
6 tablettes de course
6 pions
1 règle du jeu",NULL
"62","62","2 plateaux Pendu
71 lettres rouges
71 lettres bleues 
Règle du jeu",NULL
"63","63","Unité de jeu Le Pendu
Support pour le mot
70 lettres
Règle du jeu",NULL
"64","64","1 plateau de jeu
6 pions &quot;détective&quot;
60 cartes &quot;témoin&quot;
12 cartes &quot;Le sage&quot;
12 cartes &quot;S.V.P.&quot;
24 cartes &quot;Indic&quot;
4 disques Dragon chinois de couleurs différentes
1 livret contenant 50 énigmes
1 bloc de feuilles d'indices
3 décodeurs : 1 rouge, 1 miroir, 1 grille S.V.P. transparente
1 carte écran &quot;Qui est le coupable ?&quot;
1 dé
1 feuille d'adhésifs
1 règle de jeu",NULL
"65","65","20 cartes thèmes
41 cartes lettres",NULL
"66","66","5 planches
30 tuiles",NULL
"68","68","56 cartes
4 supports plastiques",NULL
"69","69","32 jetons 
1 règle du jeu",NULL
"70","70","1 support plastique
8 planches
32 formes colorées",NULL
"71","71","2 planches
24 cartes rondes
4 caches de couleur
1 dé de couleurs
1 règle de jeu",NULL
"72","72","1 plateau de jeu
28 cartes de propriété
16 cartes chance
16 cartes communauté
1 casier du banquier + billets
2 dés 
8 pions en étain
32 maisons
12 hôtels",NULL
"73","73","1 plateau de jeu
2 dés
8 pions en acier métal
32 maisons vertes 
12 hôtels rouges
1 jeu de cartes caisse de communauté
1 jeu de cartes chance
28 titres de propriété 
1 règle du jeu",NULL
"74","74","Gaston le petit cochon
1 pince reliée au lit
5 pièces en forme d'aliments
15 cartes aliments",NULL
"75","75","26 lettres en plastique de couleur
15 cartes mots
Support de jeu et rangement
Dé coloré
Règle détaillée",NULL
"76","76","1 plateau
1 visage
25 pièces 
9 cartes",NULL
"77","77","1 plateau de jeu
6 pions
1 sonnette
110 cartes 
1 support de rangement
1 règle du jeu",NULL
"78","78","15 plateaux de jeu
7 tangrams
12 pentaminos 
2 dés 
2 écrans 
16 figurines
24 pions personnage
240 puces de 3 couleurs différentes
1 lance-puce
1 jeu de 55 cartes 
20 pions-bateaux",NULL
"79","79","24 rivets
1 boîtier
1 plateau de jeu
4 pièges
24 couverts
1 HEXBUG
18 jetons Cafard
1 dé
2 portes 
1 règle du jeu",NULL
"80","80","60 cartes
6 plateaux de jeu
78 graines en bois
1 dé
1 règle du jeu",NULL
"81","81","1 support de jeu
5 billes vertes 
5 billes rouges 
5 billes noires 
5 billes bleues
(les billes sont en porcelaine)",NULL
"82","82","1 support de jeu
5 billes vertes 
5 billes rouges
5 billes noires 
5 billes bleues
(les billes sont en plastique)",NULL
"84","84","1 support de jeu
4 pinces
12 puces jaunes 
12 puces rouges 
12 puces vertes 
12 puces bleues",NULL
"85","85","1 support de jeu en 4 parties
30 plumes
17 œufs",NULL
"86","86","Support de jeu
21 jetons rouges
21 jetons jaunes",NULL
"87","87","2 plateaux de jeu pré-montés
24 cartes rouges
24 cartes bleues
24 cartes jaunes
2 indicateurs de score
Règle du jeu",NULL
"88","88","2 Supports de jeu
48 supports blancs
48 cartons personnage
24 cartes personnage
14 pions de marque",NULL
"89","89","1 plateau de jeu
16 pyramides jaunes
16 pyramides rouges
15 pyramides bleues
48 cartes-trésors : 1 (20), 2 (19), 3 (9)
1 plan de jeu
12 jetons-trésors
36 jetons neutres
1 règle du jeu",NULL
"90","90","252 cartes 
1 sabot 
1 tableau de marque
1 stylo 
1 règle du jeu",NULL
"91","91","1 plateau de jeu
32 pions jaunes
32 pions rouges
1 règle du jeu",NULL
"92","92","1 plateau de jeu 
64 boules Rolit
1 règle du jeu",NULL
"93","93","1 DVD
1 plateau de jeu
4 pions en métal
160 cartes questions dans une boîte
30 cartes buzz
4 cartes mémo
1 dé à six faces
1 dé à huit faces
1 règle de jeu",NULL
"94","94","1 muraille de château (gris foncé ou gris clair)
2 tours et 1 donjon
1 bastion
4 mantelets
1 canon
2 catapultes
1 baliste
24 boulets de canon
12 soldats bleus
12 soldats rouges
2 chevaliers (1 rouge et 1 bleu)
10 attaches en plastique
7 arbres avec cartes à insérer
2 dés de combat
8 élastiques
1 champ de bataille constitué d'une base de château, 1 base de bastion, 1 bosquet, 6 sections de chemin, 1 base de mantelet et 1 base de tour
1 feuille d'autocollants
1 livret d'instructions",NULL
"95","95","6 cartes personnages
60 cartes force
24 cartes famille
2 dés ordinaires
1 dé de couleur",NULL
"97","97","1 minuteur Stylo Krono
1 stylo à bille
1 dé 
104 cartes 
1 carnet à dessin 
Règle du jeu",NULL
"98","98","1 plateau de jeu + 1 écran
24 pions verts 
24 pions rouges
24 pions bleus
24 pions jaunes 
24 pions orange
24 pions blancs 
24 pions marron
24 pions noirs
30 marqueurs blancs
30 marqueurs noirs 
Règle du jeu",NULL
"99","99",NULL,NULL
"100","100","500 cartes
1 plateau de jeu
1 distributeur de cartes 
1 buzzer TABOO
1 sablier
2 pions
1 feuille d'instuctions",NULL
"101","101","1 support de jeu
1 chronomètre
1 bille",NULL
"102","102","1 plateau de jeu
1 dé
2 boîtiers de cartes avec 1000 cartes
6 camemberts
36 triangles marqueurs
Règle du jeu",NULL
"103","103","1 tapis Twister 
1 roulette avec une flèche + base",NULL
"104","104","Le sabot-minuteur 
108 cartes 
La règle du jeu",NULL
"105","105","1 roue UNO WIZZ 
112 cartes",NULL
"106","106","1 plan de jeu 
6 pions de jeu
6 petits drapeaux 
180 cartes de villes 
6 plans de lignes aériennes
1 dé 
1 carnet avec la règle du jeu",NULL
"107","107","1 plateau de jeu avec barre à tension 
22 grandes pièces jaunes 
22 pièces vertes moyennes 
22 petites pièces rouges 
Règle du jeu",NULL
"108","109",,NULL
"109","110","plein",NULL
"110","111",NULL,NULL
"111","112",NULL,NULL
"112","113","Plateau de jeu
4 pions souris
bille (diamètre 14 mm)
24 pièces de construction du piège à souris
élastique
24 morceaux de fromage en carton
dé
instructions",NULL
"113","114","3 pions souris
1 Hippo Glouton
Plateau de jeu en 3 parties
1 roulette - sa base et son plateau
1 tobbogan-fromage
1 chaussure
1 branche d'arbre
1 bascule en forme de bûche
1 pièce éléphant
1 toboggan-crocodile
1 pièce girafe
1 pièce singe
1 baignoire
1 échelle
1 tronc d'arbre
1 branche de bananier
1 feuillage
1 cage
2 billes (diamètre 14 mm)
1 notice d'instructions",NULL
"114","115","L'âne RICO
1 socle de jeu
1 couverture + 1 selle + 1 bouteille + 1 pelle+ 1 casserole + 1 lanterne + 1 tapis + 1 corde + 1 bâton de dynamite + 1 chapeau + 1 revolver et son étui + 1 guitare + 1 caisse
1 règle du jeu",NULL
"116","117","4 cochons
8 jetons œil
4 jetons queue
8 jetons oreille
16 jetons patte
3 dés
1 gobelet
5 supports de rangement",NULL
"117","118","5 cochons
10 jetons œil
5 jetons queue
10 jetons oreille
20 jetons patte
3 dés
1 gobelet
6 supports de rangement",NULL
"118","119","2 plateaux de jeu pré-montés
24 cartes rouges
24 cartes bleues
24 cartes jaunes
2 indicateurs de score
Règle du jeu",NULL
"119","120","36 cartes triangulaires
60 fiches de récompense
4 réglette
1 règle du jeu",NULL
"120","121","56 plaques triangulaires massives
Détail : 
5 triples : 000 ; 111 ; 222 ...
5 séries avec 2 chiffres identiques + 1 autre chiffre : 001 ; 002 ... 553 ; 554
20 plaques avec 3 chiffres différents : 012 ; 013 ; 014 ; 015 ; 023 ; 024 ; 025 ; 034 ; 035 ; 045 ; 123 ; 124 ; 125 ; 134 ; 135 ; 145 ; 234 ; 235 ; 245 ; 345.
4 réglettes
Règle du jeu",NULL
"121","122","1 cassette VHS HI-FI
96 cartes TEMPS
48 cartes DESTIN
2 dés
1 règle du jeu",NULL
"122","123","300 cartes dont :
- 120 cartes LES QUALIFS
- 90 cartes LA COMPET'
- 90 cartes LE DEFI
1 plateau de jeu
8 personnages carton prédécoupés
1 fauteuil carton prédécoupé
7 socles en plastique
2 blocs feuilles réponses
6 mini crayons
1 règle du jeu",NULL
"123","124","5 planches
30 tuiles",NULL
"124","125","1 plateau de jeu
4 petits voyageurs
4 socles
1 flèche tournante
16 médailles
90 cartes questions
20 cartes étapes
1 petit guide",NULL
"125","126",NULL,NULL
"126","127","28 dominos",NULL
"127","128","1 plateau de jeu
6 pions
1 sonnette
55 cartes enfant
55 cartes adulte
1 étui de 55 cartes
1 support de rangement
1 notice",NULL
"128","129","1 support de jeu
16 pions blancs
16 pions noirs",NULL
"129","130","40 cartes de code
8 cartes de perturbation
8 cartes Fex
1 sablier
Règle du jeu",NULL
"130","131","48 cartes
1 règle de jeu",NULL
"131","132","31 grandes tuiles
6 tuiles rondes mémo
6 pions
1 dé
1 règle du jeu",NULL
"132","133","1 plateau de jeu
3 plates-formes glissantes
8 cartes personnages
36 cartes
8 pions
3 tombes
1 lanceur de fantôme et 1 tête de mort
1 feuille pré-découpée
1 feuille d'autocollants
2 dés
1 livret d'instructions",NULL
"133","134","1 support de jeu
4 fantômes verts
4 fantômes rouges
4 fantômes bleus
9 rayons de soleil
1 dé à couleurs",NULL
"134","135","1 plateau de jeu
36 boules Rolit (petite taille)
1 règle de jeu",NULL
"135","136","112 cartes &quot;conte&quot;
56 cartes &quot;dénouement&quot;",NULL
"136","137","4 planches illustrées
24 pions
1 notice",NULL
"137","138","1 plateau de jeu
600 cartes
1 dé à 10 faces
1 pot de pâte Cranium
1 sablier
Des blocs de feuilles et des crayons
4 jetons Cranium
1 règle de jeu",NULL
"138","139","4 planches
32 tuiles",NULL
"139","140","1 sabot à cartes
110 cartes
1 règle de jeu",NULL
"140","141","56 plaques triangulaires (plastique léger, plaques creuses).
Détail : 
5 triples : 000 ; 111 ; 222 ...
5 séries avec 2 chiffres identiques + 1 autre chiffre : 001 ; 002 ... 553 ; 554
20 plaques avec 3 chiffres différents : 012 ; 013 ; 014 ; 015 ; 023 ; 024 ; 025 ; 034 ; 035 ; 045 ; 123 ; 124 ; 125 ; 134 ; 135 ; 145 ; 234 ; 235 ; 245 ; 345.
4 réglettes
1 règle du jeu",NULL
"141","142","1 support de rangement
1 plateau de jeu
8 roues marron dont 1 claire
8 roues blanches dont 1 plus foncée
1 règle du jeu",NULL
"142","143","28 dominos",NULL
"143","144","1 plateau
5 figurines
5 socles
4 fiches d'enquête
4 curseurs
55 cartes aventure
20 totems + 20 aimants :
- 12 positifs (ne rentrent pas dans l'écrin).
- 8 négatifs (se fixent dans l'écrin)
1 totem dhor
1 écrin aimanté
1 dé
1 dé spécial
1 règle du jeu",NULL
"144","145","1 bloc-note
81 cartes de votes
9 cartons symbole + 9 socles
9 crayons
55 cartes
1 règle du jeu
1 tour à cartes",NULL
"145","146","64 cartes
4 pions bois
1 règle du jeu",NULL
"146","147","64 cartes
4 pions bois
1 règle du jeu",NULL
"147","148","36 tuiles
1 support avec les billes
1 règle du jeu",NULL
"148","149","1 plateau de jeu
1 loup magnétique
5 vêtements magnétiques
46 jetons dont 30 petits jetons et 16 jetons ronds (dont 8 de rechange)
4 feuilles
1 sac en tissu
1 règle du jeu",NULL
"150","151","1 feuille représentant le plateau de jeu
5 supports pour les jetons
Jetons (en bois)
1 paquet de cartes",NULL
"151","152","1 jeu de 54 cartes
5 cases de mise amovibles
Intérieur de la mallette aménagé en plateau de jeu
Jetons (en plastique). 3 formats : rond, petit rectangle, grand rectangle",NULL
"152","153","1 plateau de jeu
1 toupie TITEUF/NADIA
330 cartes
12 pions + 12 socles
1 bloc dessin + crayon
Pâte à modeler
1 sablier (30 s)",NULL
"153","154","2 demi-plateaux réversibles
40 cartes astuce
15 cartes événement d'été
15 cartes événement d'hiver
2 marqueurs palissades
2 dés
1 sac en tissu pour les pions animaux
62 pions animaux dont 54 avec une lettre au dos
6 pions femme et 10 pions guerrier par joueur
1 pions guerrier et 1 pion femme neutres
1 marqueur en bois
9 marqueurs agriculture
9 marqueurs incendie/inondation
5 marqueurs village/grotte par joueur
6 marqueurs feu
42 jetons nourriture",NULL
"154","155","1 support de jeu
21 jetons rouges
21 jetons jaunes",NULL
"155","156","1 plan de jeu recto-verso
Les aiguilles de l'horloge
48 jetons réveils et montres
48 jetons personnages",NULL
"156","157","1 gros dé en mousse
5 disques verts
5 disques rouges
5 disques orange
6 bracelets verts
6 bracelets rouges
6 bracelets orange
1 règle du jeu",NULL
"157","158","1 plateau de jeu
13 pièces d'anatomie (dont un élastique)
1 règle du jeu",NULL
"158","159",NULL,NULL
"159","160","1 plateau de jeu
24 cartes Chance
56 stands
4 voitures en plastique
1 liasse de billets de banque
1 dé",NULL
"160","161","1 règle du jeu pour enfant
1 règle du jeu pour adultes
2 dés
11 cartes de crédit
24 cartes postales
57 cartes d'accusation
57 jetons d'accusation
3 liasses de billets de banque (50, 100, 500)
6 pions
1 plateau de jeu",NULL
"161","162","102 lettres
4 chevalets
1 sac en tissu
1 livret de jeu
1 coffret de jeu avec plateau intégré",NULL
"162","163","1 plateau
1 dé
1 sablier
6 pions en bois
96 cartes-lettres
704 fiches
18 cavaliers
30 titres &quot;champion du vocabulon&quot;",NULL
"163","164","(version allemande)
5 plateaux de jeu (perroquet, coffre au trésor, longue-vue, ducat, carte au trésor, canon, boussole)
3 plateaux de jeu : bateau, repère de pirate et drapeau pirate
105 cartes
30 pions de pirates (6 de chaque couleur - jaune, vert, bleu, rouge, marron)
1 règle du jeu",NULL
"164","165","1 plateau de jeu 
Pions noirs
Pions blancs",NULL
"165","166",NULL,NULL
"166","167",NULL,NULL
"167","168","6 cadres de puzzles
20 jetons
24 pièces
Règle du jeu",NULL
"168","169","21 jetons rouges
21 jetons jaunes
4 tours de jetons bleus
2 plateaux transparents
1 lanceur de jetons rouges
1 lanceur de jetons jaunes
1 règle du jeu",NULL
"169","170","1 poulpe animé (1 rocher, 1 tête, 8 tentacules)
20 crabes
1 pince
1 règle du jeu",NULL
"170","171","1 coffre-fort électronique
8 outils (jumelles, perfo, ordinateur, carte, lampe torche, casque, explosif, gants)
12 lingots d'or
20 billets de banque
1 règle du jeu",NULL
"171","172","5 personnages
4 cadeaux
3 accessoires
1 règle du jeu",NULL
"172","173",NULL,NULL
"173","174","24 cartes-puzzle",NULL
"174","175","4 planches de jeu
16 pièces en plastique
2 dés
1 règle du jeu",NULL
"175","176","30 pièces de puzzle
1 guide de jeux",NULL
"176","177","1 règle
28 cartes
1 médaille
1 ficelle",NULL
"177","178","Le manoir en 3 dimensions.
5 pièges en plastique : escalier, cheminée, lustre, bibliothèque et statue.
1 cadre en plastique
13 pions personnage en cartin
13 supports en plastique
54 cartes
2 dés
13 clips en plastique
1 élastique
3 feuilles cartonnées
1 feuille d'autocollants
1 règle du jeu",NULL
"178","179","8 dés en bois
16 dominos
1 règle du jeu",NULL
"179","180","1 fantôme
1 château constitué du fond de la boîte, de 4 pieds supports, de 4 billes de fixation et de 4 murs
1 baguette de fantôme
36 tableaux (carré)
9 cartes-pièces (rondes)
1 sablier
1 règle du jeu
Obstacles :
4 billes magnétiques
1 coffre
9 pièces d'or
+ 1 livre avec d'autres idées de jeux",NULL
"180","181","49 cartes
48 marqueurs Sable
24 tuiles
6 marqueurs en plastique
6 pions
4 pièces Machine volante
1 échelle Tempête de sable
1 socle
1 maquette Machine volante
1 règle du jeu",NULL
"181","182","3 planches
27 jetons",NULL
"182","183","(version anglaise)
1 plateau de jeu
4 supports
100 lettres
1 sac
1 règle de jeu",NULL
"184","185","1 plateau de jeu
4 chevalets en plastique (vert)
102 lettres
1 sac 
1 carnet de score + crayon
1 règle de jeu",NULL
"185","186","4 chevalets en plastique (vert)
102 lettres (lettres écrites en vert)
1 sac en tissu
1 règle du jeu
1 plateau de jeu",NULL
"186","187","1 plateau de jeu réversible
84 lettres en plastique (orange)
32 jetons rouges
1 carnet de score
1 sac en tissu
1 règle de jeu",NULL
"187","188","1 plateau de jeu
1 écran
12 pions rouges
12 pions jaunes
12 pions bleus
12 pions verts
12 pions noirs
12 pions blancs
20 fiches noires
20 fiches blanches
Règle du jeu sur la boîte",NULL
"188","189","1 bouche de loup motorisée
12 objets
1 pince
1 roue avec une flèche
1 notice",NULL
"190","191","1 plateau de jeu
30 figurines
90 socles
3 dés
21 cartes YES
21 cartes NO
21 cartes OBJECTIF
30 cartes PAYS
1 liasse de billets de banque
1 règle du jeu",NULL
"192","193","6 planches
36 cartes
36 jetons",NULL
"193","194","1 plateau de jeu
1 étui de dés
13 cartes
1 bloc de marque",NULL
"194","195","3 baleines
3 dés couleurs
8 pions jaunes
8 pions rouges
8 pions verts
1 notice",NULL
"195","196","1 support de jeu (fusée)
1 personnage (Tom)
Clés",NULL
"196","197","Un plateau de jeu
1 pince
13 éléments anatomiques dont 1 élastique
Cartes
Billets",NULL
"197","198","1 papa dans son lit (images : enfant qui fait chut)
4 pions (jaune, rouge, vert, bleu)
1 plateau de jeu
16 cartes (4,2 sur 4,2 cm)
1 flèche (directement sur plateau)
1 planche d'autocollants
La règle du jeu","Version avec petites cartes (4,2 sur 4,2 cm)"
"198","199","1 papa dans son lit (images : 2 flèches)
4 pions (jaune, rouge, vert, bleu)
1 plateau de jeu
16 cartes (6 sur 6 cm)
1 flèche avec support
1 planche d'autocollants
La règle du jeu","Version avec grandes cartes (6 sur 6 cm)"
"199","200","1 plateau de jeu
8 bases de loisirs
33 toits
30 bases
8 titres de propriété
2 réverbères
Liasses de billets (50, 100, 500, 1000, 5000)
30 entrées d'hôtel
30 bâtiments
4 voitures (jaune, rouge, vert, bleu)
1 dé classique
1 dé spécial",NULL
"200","201",NULL,NULL
"201","202","1 plateau de jeu
36 pions chapeau
1 dé
1 règle du jeu
33 cartes","Version allemande"
"202","203","26 paires de cartes
1 règle du jeu",NULL
"203","204","1 dé LEGO à construire
12 micro figurines LEGO
211 pièces LEGO
1 règle du jeu
1 notice de montage",NULL
"204","205","1 plateau de jeu
1 liasse de billets
23 cartes ACQUISITION
23 cartes ÉVÉNEMENT
50 cartes COURRIER
16 cartes PRÊT
6 pions (jaune, blanc, rouge, bleu, vert, violet)
1 dé
6 livrets d'épargne
1 règle de jeu",NULL
"205","206","1 élément de base gris 
1 plateau blanc
1 cadre de jeu gris
6 coulisses numérotées
Pions rouges
Pions bleus
4 supports en caoutchouc
1 feuille en plastique avec des nombres imprimés",NULL
"206","207",NULL,NULL
"207","208",NULL,NULL
"208","209","6 pingouins
1 tourniquet
2 toboggans
2 supports pour toboggan
2 glissières
1 feuille d'autocollants
1 règle du jeu",NULL
"209","210","2 supports de jeu
48 supports blancs
24 cartes personnage (bleues)
24 cartes personnages (rouges)
24 cartes personnages (jaunes)
Marqueurs jaunes
1 règle du jeu",NULL
"210","211","1 plateau de jeu
1 puzzle
10 pommes
10 cerises
10 poires
10 prunes
4 paniers
1 dé en bois",NULL
"211","212","1 plateau de jeu
1 dé standard
1 dé Araignée
1 perche
1 bouchon-pivot
1 fiche amovible avec capuchon
Ficelle
1 Araignée
1 poids
8 mouches de 4 couleurs (bleu, rouge, jaune, vert)
4 pieds supports en caoutchouc",NULL
"212","213","1 support de jeu
2 cartons rouges
Pions jaunes
Pions rouges
Cylindres en bois (bleu, noir, rouge, vert, jaune, marron)",NULL
"213","214","1 plateau de jeu
81 jetons de différentes valeurs
0×9, 1×9, 2×8, 3×8, 4×7, 5×8, 6×6, 7×6, 8×4, 9×4, 10×3, 11×3, 12×2, 13×2, 14×1, 15×1 (+ jeton facultatif DJ Games)
2 jetons &quot;joker&quot; marqués d'une étoile
4 chevalets
1 sac en tissu
1 règle du jeu",NULL
"214","215","1 support de jeu
Cartes
Dés avec des lettres 
1 cache
1 règle du jeu",NULL
"215","216","1 œuf parlant électronique
18 cartes postures
18 cartes gages
1 notice",NULL
"216","217","1 plateau de jeu en bois
8 animaux
4 brouettes
7 jetons de nourriture
1 soleil
1 dé",NULL
"217","218","1 plateau de jeu
5 cartes &quot;fantôme&quot;
45 cartes &quot;clé&quot;
4 pions
1 suaire
1 notice",NULL
"218","219","1 piste pour dragsters
8 voitures (bleues et rouges)
2 billes",NULL
