"idDocLigne","idDocument","idJeu","question","reponse","prix"
"101","71","144","bonjour je recherche 3 marqueurs de score les figurines tintin tournesol et haddock avec un seul support il me manque aussi une carte j'essaie de l'identifier.","J'ai les 3 marqueurs et les 3 figurines (celle de tintin a une marque de pliure). Je n'ai pas de support dans la boîte. Il faudrait que je retrouve le sachet dans lequel j'ai des supports plastiques. Vous pouvez me redire par mail pour la carte, je peux modifier le devis.","140"
"102","72","23","Bonjour je suis a la recherche de cartes. Il me manque:

Proffesseur Violet
Mademoiselle Rose
Revolver
Matraque
Salle à Manger
Salle de Bal

Avez vous ces cartes en stock?
Cordialement","Bonsoir, j'ai les 6 cartes !","120"
"103","73","86","Bonjour, je suis à la recherche de 2 jetons jaunes","Bonjour, j'en ai 2 !","40"
"115","81","154","Bonjour,
J'ai acheté ce jeu d'occasion il y a quelques temps, et il me manque 2 des 6 marqueurs feu. 
Tout le reste est complet.

Est-ce qu'il est possible d'acheter uniquement 2 marqueurs feu? Ils sont carrés, noirs et en carton.

Merci d'avance,
Olivier","Bonjour, oui j'ai bien 2 marqueurs feu !","40"
"117","83","16","Bonjour, avez-vous la selle de Rico le bourricot ? 
Un tout grand merci et bravo pour votre initiative!","Bonjour, oui j'ai !","20"
"118","84","204","Bonjour, nous avons récupéré ce jeu malheureusement incomplet:
Il nous manque 2 briques vertes réf 4164022, 1 pion rouge réf 4560457, le dé réf 4539364, les faces 6 réf 4556011,  le 5 réf 4540391, le 4 réf 4540388,  1 face noire réf 306826.
Auriez vous cela par hasard?
Merci beaucoup !","Bonjour, oui j'ai toutes ces pièces !","190"
"119","85","96","Bonjour. 
Avez vous 3 singes?
Merci","Bonjour, oui j'ai !","60"
"120","85","83","Bonjour ,
Avez vous 4 épées?
1 rouge, 1 jaune, 1 bleue, 1 verte Svp?
Merci","C'est bon j'ai les 4.","80"
"121","86","123","Bonjour. Il me manque un crayon. Merci !","Bonjour, je n'en ai pas.","0"
"122","86","213","Bonjour il me manque un pion jaune. Merci !","J'en ai un !","20"
"123","86","62","Bonjour, il me manque un marqueur de score. Merci !","J'ai !","20"
"124","86","125","Bonjour. Il me manque un socle, une médaille et une carte question. Puis-je vous envoyer une photo de toutes mes cartes afin que vous sachiez laquelle il me manque exactement ? Ou préférez-vous m'envoyer une photo de vos cartes pour que je vous dise laquelle je veux ? Merci !","J'ai les 3 !","60"
"125","86","58","Bonjour. Il me manque la petite bille de la roulette. Merci !","Je ne l'ai pas.","0"
"126","86","55","Bonjour. Il me manque un curseur blanc. Merci !","Je n'en ai plus.","0"
"127","86","41","Bonjour. Il me manque une carte Pluton et 2 cartes Mars. Puis-je vous envoyer une photo de toutes mes cartes afin que vous puissiez trouver la manquante ou préférez-vous m'envoyer une photo de toutes vos cartes afin que je cherche moi-même les manquantes (cela vous ferait gagner du temps...). Merci","C'est bon j'ai les trois !","60"
"128","86","30","Bonjour. Il me manque 2 fanions. Merci !","Je n'en ai plus. Je vous compte les pièces de Ramsès 2 sur cette ligne","260"
"129","87","89","bonjour,
J'aurais besoin de :
- 2 pyramides bleues
- 2 jetons Trésor,
- 2 jetons neutres.
Je suis joignable à l'adresse suivante : cecile_deshayes@yahoo.fr
Merci de votre attention.
Cordialement,
Cécile D.","Bonjour, suite à votre mail qui précise votre demande je vous confirme l'envoi de deux pyramides bleues, 4 jetons neutres et une carte 3 (lunettes)?","140"
"130","88","200","Jeux incomplet","Bonjour, vous m'avez dit que vous ne le preniez pas (mauvais état).","0"
"131","88","32","Jeu incomplet si possible","Comme convenu","200"
"132","88","64","Je souhaite vous achetez le jeu le moins incomplet possible","Comme convenu (jeu complet)","1200"
"135","91","211","Bonjour,
Avez vous les pièces suivantes svp ? 
- 2 prunes
- 1 pomme
- 2 paniers
Merci par avance","Bonjour, j'ai 2 prunes et 1 pomme, pas les paniers. Je me permets d'ajouter la commande pour le cochon qui rit, j'ai l'oreille.","80"
"136","92","190","Bonjour il me manque la pince et 2 insect un bleu et un rouge
Avez vous
Merci","Bonjour, j'ai 1 insecte bleu et 1 rouge mais pas la pince. J'ajoute les commandes pour les autres jeux : cluedo : j'ai le poignard mais la matraque. Réveille pas papa : j'ai le pion rouge.","80"
"137","93","16","Bonjour, je recherche la bouteille. Merci.","Bonjour, j'ai ! (en rouge)","20"
"138","94","94","Bonjour je souhaite acheter la boîte et sont contenues. Mais je voudrais connaître les pièces manquantes. merci","Bonjour, comme convenu par message (boîte + contenu)","1400"
"139","94","64","Bonjour je souhaite acheter la boîte et sont contenues. Mais je voudrais connaître les pièces manquantes. merci","Le dé bleu","20"
"140","94","18","Bonjour je souhaite acheter la boîte et sont contenues. Mais je voudrais connaître les pièces manquantes. merci","Vous ne prenez pas.","0"
"141","94","31","Bonjour je souhaite acheter la boîte et sont contenues. Mais je voudrais connaître les pièces manquantes. merci","La boîte + le support sans les jetons","400"
"142","95","192","Bonjour, vous avez l etui confidentiel ?","Bonjour, oui j'ai ! (il est tout noir).","20"
"143","96","60","Bonjour il me manque les 4 ciseaux et les 4 pierres les auriez-vous ?","Bonjour, j'ai seulement les 4 ciseaux.","80"
"146","99","64","Le livret d'enigme était manquant dans le jeu acheté neuf il y a quelques mois","Bonjour, j'en ai un (il y a un petit bout déchiré sur la page de couverture)","50"
"151","104","64","Je souhaite les 3 cartes suivantes de Mr Tchang-Pabong:  n°20/ N°29 / N°38.
Ce jeu est le jeu de mon enfance et mes enfants pourraient ainsi y jouer sans en acheter un neuf ! Merci !","Bonjour, j'ai les trois ! Vos enfants vont pouvoir y jouer !","60"
"152","105","16","bonjour, avez-vous les pièces  suivantes : la dynamite, la guitare, la casserole, le fusil, la lampe et la règle du jeu.
Merci d'avance","Bonjour, j'ai la dynamite, la guitare, la casserole et la lampe. Je n'ai pas le fusil ni la règle du jeu.","80"
"154","107","203","Bonjour. Je recherche l'image du lion qui s'associe avec la lettre L, l'auriez vous en stock? 

Cordialement","Bonjour, j'ai la tuile avec l'image du lion !","20"
"155","108","178","Bonjour,
Avez vous le support plastique pour un pion et le pion médecin ainsi qu'une carte lustre escalier.
Par avance merci et bravo pour votre super site ! 
Cordialement
Monique Pochet","Bonjour, j'ai les 3 ! Merci pour votre soutien !","60"
"164","117","57","Cherche 3 pattes et 8 yeux. Merci","Bonjour, je n'ai que les 3 pattes.","60"
"166","119","47","Bonjour mon jeu n'est pas complet j aurai besoin de 8 billes chinoises bleue et 8 billes chinoise rouge. Merci d'avance","Bonjour, j'ai les 14 billes bleues + 8 billes rouges. J'ajoute une bille verte pour le jeu piège, ce n'est pas une bille d'origine mais cela vous permettra de jouer.","150"
"167","120","102","Bonjour. Il me faudrait le plateau, la boîte et un boîtier. Merci !","Rebonjour ! J'ai toujours les 3 ! (J'ajoute ici les 0.20€ pour la carte 3  canard de Ramsès 2).","370"
"168","120","192","Bonjour. Il me faudrait les 6 pions, les 6 armes et l'étui. Merci !","J'ai les 6 pions mais que 5 armes (il manque la matraque). Je n'ai plus l'étui.","220"
"169","121","200","Bonjour 

Je souhaiterais avoir deux entrées pour ce jeu. Merci","Bonjour, j'ai les deux entrées.","40"
"170","122","89","Bonjour
Nous aurions besoin du plateau de jeux.
Merci","Bonjour, comme convenu je vous envoie le plan de jeu (la planche avec les trous).","50"
"171","123","236","Bonjour, je recherche la pièce longue de 4 carreaux en bleu , auriez-vous celà ? je vous remercie","Bonjour, je l'ai !","20"
"173","125","64","Bonjour avez-vous le plateau ?","Bonjour, oui je l'ai !","200"
"175","127","192","Bonjour, avez vous la carte clef anglaise ? Merci d’avance!","Bonsoir, oui j'ai !","20"
"177","129","159","Bonjour, auriez vous les jetons magiques numéro 12 et 25 svp?","Bonjour, oui j'ai les deux !","40"
"178","130","52","Bonjour je souhaite le jeux quasiment complet comme vu par Messenger","(re)bonjour, prix convenu ensemble. ","600"
"179","131","191","Bonjour, il me manque 6 pièces du jeu Yes ( 1 baril de pétrole, 1 lingots d'or, 1 satellite, 1 tracteur, 1 building et 1 usine) les avez vous s'il vous plaît ? ☺️","Bonjour, j'ai presque tout ! Il manque le baril de pétrole.","100"
"180","132","235","Bonjour,
Il me faudrait : 
-4 jetons Turbo Energie (1 bleu, 1 vert, 2 oranges)
-1 dé de déplacement à 10 faces
-1 règle de jeu","Bonjour, j'ai les 4 jetons turbo énergie et le dé à 10 faces mais pas la règle du jeu.","100"
"181","133","235","Bonjour,

Au jeu Turbo cochon, il nous manque 2 jetons rouges (turbo énergie). Les auriez-vous ?
Merci beaucoup,
Cordialement,
Linda","Bonjour, oui j'ai 2 jetons rouges !","40"
"184","136","88","Bonjour avez vous la carte mystère jaune ANITA ? Cdlt
La dernière fois vous l 'aviez en stock sauf que votre  réponse c'est retrouvée dans las SPAM et je ne l'ai vu qu'aujourd'hui.","Bonjour, sur ma base de données votre devis est toujours valide. je vous le renvoie.","20"
"186","138","181","Bonjour, 
Je recherche le pion vert pour ce jeu. 

Merci d'avance","Bonjour, comme indiqué sur le mail je vous mets un pion vert qui s'approche de celui du jeu.","20"
"187","138","52","Bonjour, 

Suite au devis DEV21020106  je refais ma demande pour les pions bleu et vert.

Merci !","J'ai toujours le pion bleu et le pions vert.","40"
"191","141","82","Hello

Comme échange ma demande pour Donjons et catapultes. Estc e que le jeu piège est presque complet?
Merci 
Julien Gamon","Bonjour Julien, non je n'ai plus aucune bille pour le jeu pièges. Comme convenu 10€ pour la boîte donjons et catapultes et l'extension. A bientôt !","1000"
"194","143","236","Bonjour,

Je suis a la recherche de 5 pieces (voir photo)
Les pieces sur la photo sont les formes et les couleurs recherché à savoir :
- un ""U"" en vert
- un ""T"" en vert
- un ""point"" en vert 
- un ""point"" en bleu
- un ""Z"" en bleu

D'avance merci","Bonjour, j'ai tout sauf le ""point"" en bleu.","80"
"195","144","53","Bonjour,
Je recherche 3 pièces. Les trésors suivants : le fantôme, le génie et l’homme des cavernes  . Je vous les met en photo.","Bonjour, j'ai les 3 ! Nous sommes d'accord que vous cherchez les tuiles qui vont sur le plateau (les couloirs ont un aspect brillant).","60"
"196","145","117","bonjour! j'ai retrouvé ma vieille boite d'enfance, et je voulais faire decouvrir à mon fils, mais il manque pas mal d'éléments: 7 yeux, 4 oreilles, 2 queues, 8 pattes! (ils sont en plastique rouge, sauf les yeux, transparents verts.) Auriez vous ces pièces, et si oui, à quel prix?","Bonjour, j'ai les 4 oreilles, les 2 queues, les 8 pattes mais plus aucun jeton pour les yeux.","160"
"199","148","22","Il nous manque 1 carotte pour compléter notre jeu ( carotte cassé )","Bonjour, j'ai !","20"
"207","153","236","Bonjours, j'aurais voulu savoir si vous avez la pièce verte 2 carrés. Cordialement 
marion.erisay@hotmail.fr 

Je ne sais pas si mon premier message est passé ","Bonjour, oui j'ai !","20"
"208","154","200","Bonjour, je souhaiterais 3 portes d'entrée jaunes  et 2 réverbères. 
Merci","Bonjour, j'ai les 3 portes d'entrée jaunes mais pas les réverbères.","60"
"209","154","197","Bonjour, avez-vous la pomme ?","Oui j'ai !","20"
"210","154","231","Bonjour, je souhaite :
2 jaunes
1 rose
1 orange
1 rouge
1 bleu
1 gris","J'ai les pions que vous cherchez","35"
"211","154","198","Bonjour,
Avez vous l'image du poisson ?","Oui j'ai l'image (rouge) du poisson. Dimension de la carte : 42 mm sur 42.","20"
"212","154","98","bonjour, je souhaiterais avoir 3 fiches noires 1 pion orange 1 pion marron 2 pions verts 1 pion blanc Merci","Je n'ai plus de fiches noirs mais j'ai les 5 pions.","25"
"213","154","96","bonjour, je souhaiterais avoir :
1 baton rose
1 baton vert et 
3 batons oranges
Merci","J'ai les 5 bâtons !","80"
"215","156","33","12 pieces anatomiques","Bonjour, j'ai les 12 pièces anatomiques ! (Cela ne comprend pas l'élastique que je n'ai pas de toute façon...).","220"
"216","156","201","jeu d'echec aimanté : il me manque une tour(2cm dia x 2,8cm haut) bois foncé  et un fou(2 cm dia x 4 cmhaut) bois foncé voir noire","Pour le jeu d'échec, je n'ai pas ces pièces. ","0"
"218","158","158","Bonjour, avez vous les pièces suivantes : 
- la tete de mort
- l'élastique au niveau de la jambe 
- la pice qui est entre l'oiseau et la cloche au niveau de la tête (couleur verte)
Réponse : cedric.frappe@gmail.com","Bonjour, je n'ai plus que l pièce verte qui est entre l'oiseau et la cloche.","20"
"219","158","57","Bonjour, avez vous ces pièces svp : 
- une queue
- deux yeux
réponse : cedric.frappe@gmail.com","Je n'ai que la queue.","20"
"220","159","200","Bonjour, il me manque 1 entrée d’hotel, avez-vous ça ?","Bonjour, oui j'ai !","20"
"221","160","236","Bonjour, j’ai ce jeu depuis de nombreuses années et il me manque une pièce jaune : le coin en 5 carreaux en forme de L avec le même nombre de carreaux d’un côté comme de l’autre. Voir photo des autres pièces. 
Merci d’avance pour votre recherche et votre travail en général.","Bonjour, j'ai la pièce ! Vous allez pouvoir compléter votre jeu. Et merci pour votre soutien !","20"
"222","161","23","bonjour, j'aimerais avoir les 6 pions personnage du cluedo 1992 parker.cordialement i.donnot","Bonjour, je n'en ai que 5, il manque le révérend olive. J'ai 5 socles (2 jaunes, 1 bleu, 1 blanc et 1 violet).","100"
"223","162","200","Bonjour, auriez vous ?
. une voiture bleue
. le toit de l'hôtel Boomerang
. un toit de l'hôtel Président
. le dé avec les couleurs

Merci !","Bonjour, j'ai la voiture bleue, le toit de l'hotel Boomerang. J'ai mis le toit du bâtiment principal pour l'hôtel Président (vous pouvez changer en m'envoyant un mail). J'ai le dé avec les couleurs ! ","80"
"224","162","197","Bonjour, auriez vous ?
. la crampe de l'écrivain
. la pomme d'Adam
. la pince (la nôtre est arrachée)

Merci !

P.S : il y a une faute d'orthographe dans le titre du jeu","Je n'ai pas la crampe et la pomme. J'ai une pince mais détachée du support et bien rouillée. Je vous la mets dans le paquet mais je ne vous la compte pas.","0"
"225","162","94","Bonjour, auriez vous ?
. des boulets (autant que possible)
. un chevalier rouge
. 4 soldats rouges
. 2 soldats bleus

Merci !","Je n'ai plus de boulets ni de chevalier. J'ai 4 soldats rouges et 2 bleus mais en mauvais état (arme cassée ou pieds cassés). Je vous mets en plus 1 soldat rouge et 4 bleus (mauvais état).","80"
"226","163","236","Bonjour il me manque la pièce de couleur jaune en forme de L mais qu'avec 3 carrés en tout. c'est un presque carré il lui manque une pièce. auriez vous cela ?? je vous remercie","Bonjour, oui j'ai !","20"
"230","167","199","Je cherche à récupérer 2 cartes 6 sur 6 cm de couleur rouge 
J ai les deux cartes rouges avec robot et aquarium 
Il me manque les deux autres rouges
Merci","Bonjour, en carte rouge il vous manque les casseroles et le vase avec les billes. J'ai les deux !","40"
